X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X70	X71	X72	X73	X74	X75	X76	X77	X78
0.899918	1.030204	1.00035	0.996432	0.943326	0.776198	0.690122	0.683117	0.818088	0.895174	1.016753	0.945451	0.822856	0.642461	0.559127	0.648629	1.090543	1.911405	2.538413	2.668516	2.624042	2.625314	2.674587	2.564917	1.913957	1.168055	0.662212	0.554358	0.573032	0.749053	0.916407	0.886722	0.845932	0.710207	0.661801	0.600134	0.688279	0.86281	0.997803	1.024103	1.028194	0.948425	0.803514	0.710538	0.705727	0.774007	0.924295	0.967015	0.984388	0.864319	0.679956	0.508936	0.523891	0.802871	1.530445	2.314095	2.62618	2.57222	2.464077	2.559737	2.515874	2.036356	1.317173	0.699895	0.526171	0.548265	0.713861	0.91061	0.987376	0.932384	0.773395	0.712889	0.624241	0.675945	0.780327	0.904795	0.988786	1.005657
0.884543	1.050175	1.137365	1.07286	0.899811	0.781019	0.697414	0.733181	0.814109	0.961034	0.986723	0.969903	0.872558	0.645005	0.573622	0.601539	0.964042	1.656023	2.36001	2.788	2.848731	2.734724	2.72637	2.422665	1.710333	1.019323	0.631336	0.56994	0.617893	0.794159	0.934126	0.939257	0.860783	0.739248	0.674216	0.646053	0.71344	0.834296	0.998263	1.122919	1.056231	0.96901	0.882014	0.686152	0.730261	0.748757	0.930369	0.957916	0.987448	0.893881	0.695838	0.532218	0.525349	0.79457	1.478022	2.160449	2.69304	2.628858	2.653586	2.662603	2.54749	1.942791	1.236601	0.721358	0.536451	0.564677	0.740779	0.875818	0.962458	0.897467	0.76907	0.694641	0.634059	0.677816	0.787552	0.925775	1.017249	1.035986
0.942874	1.038708	1.075724	1.036427	0.963184	0.794896	0.80275	0.673967	0.783271	0.908973	0.918572	0.959334	0.88153	0.723541	0.591157	0.559873	0.815161	1.362782	1.90611	2.439135	2.622606	2.64963	2.381762	1.9497	1.366336	0.860447	0.584047	0.570749	0.735649	0.908277	0.942668	0.895412	0.862339	0.742615	0.643324	0.664279	0.749789	0.875698	1.000972	1.065711	1.056615	0.97441	0.851975	0.75675	0.721333	0.771901	0.856123	0.934968	0.958656	0.931942	0.730745	0.596742	0.508263	0.65507	1.164362	1.813039	2.404007	2.609487	2.615087	2.498319	2.188142	1.584497	1.034693	0.585521	0.536564	0.646053	0.813543	0.93492	0.949525	0.889384	0.820742	0.708395	0.651935	0.701459	0.810554	0.963056	1.029031	1.066758
0.877202	1.017699	1.026292	1.075666	0.924268	0.797171	0.804028	0.75419	0.782531	0.878299	0.925784	0.980539	0.911645	0.759273	0.568041	0.579546	0.597425	0.973565	1.319247	1.662378	1.88737	1.899926	1.764599	1.388267	0.94553	0.622239	0.507673	0.59096	0.767525	0.902673	0.999467	0.972509	0.859331	0.765832	0.650992	0.686432	0.767284	0.851451	0.991048	1.052827	1.040877	0.951214	0.858655	0.76526	0.701764	0.757886	0.865012	0.946322	0.991659	0.936716	0.809209	0.593526	0.502628	0.575667	0.844035	1.309786	1.705208	2.015787	2.127206	1.916723	1.62002	1.155235	0.755892	0.535695	0.527239	0.69617	0.850063	0.958261	0.964688	0.886232	0.752172	0.687135	0.636043	0.710438	0.803331	0.932874	0.975003	1.022694
0.939338	1.044863	1.032367	1.074846	0.929522	0.886354	0.770413	0.741347	0.732176	0.783844	0.892261	1.023205	0.931086	0.803182	0.646064	0.507767	0.470974	0.591789	0.759175	0.962577	1.064615	1.154189	0.986042	0.83978	0.597106	0.502606	0.603028	0.673001	0.827123	0.990942	1.023463	0.963866	0.804866	0.713329	0.682365	0.707963	0.834754	0.865584	1.042392	1.06332	1.029957	0.985539	0.867355	0.767477	0.73847	0.736027	0.785305	0.906945	0.965315	0.963469	0.816509	0.656341	0.507109	0.454097	0.573657	0.842139	1.056346	1.288181	1.326305	1.21242	0.998648	0.773444	0.554154	0.499686	0.564815	0.715325	0.90112	0.957338	0.92539	0.803422	0.707199	0.690748	0.692509	0.729825	0.846215	0.937431	1.014703	0.952273
0.986362	1.04792	1.058941	1.050097	0.998033	0.902006	0.849166	0.740267	0.706017	0.748072	0.799428	0.897292	0.981996	0.969911	0.787546	0.580013	0.490016	0.514916	0.528219	0.595023	0.64033	0.644427	0.572351	0.561319	0.515323	0.52507	0.633541	0.828978	0.970021	1.072451	1.018067	0.878141	0.768946	0.705881	0.715736	0.770353	0.852884	0.980171	1.028382	1.111293	1.070922	1.004646	0.956993	0.832197	0.813946	0.731284	0.762569	0.798282	0.949808	0.949309	0.924439	0.797507	0.603518	0.417224	0.473168	0.562815	0.625869	0.754389	0.722495	0.708385	0.616747	0.564105	0.474529	0.564508	0.690077	0.811598	0.970552	1.016466	0.937603	0.802307	0.714388	0.668703	0.70533	0.80819	0.849218	0.961313	0.981569	1.010119
1.014325	1.01628	1.018135	1.02776	1.052089	0.947661	0.907316	0.790962	0.696046	0.695397	0.730395	0.804289	0.951916	0.983399	0.872898	0.783988	0.669509	0.606241	0.605317	0.538236	0.526537	0.522196	0.544125	0.570801	0.592511	0.666075	0.77	0.910772	1.025734	1.021651	0.931518	0.788858	0.692336	0.684973	0.743167	0.866942	0.933063	0.971188	1.066189	1.040902	1.06407	1.041316	1.006942	0.903579	0.791923	0.710132	0.723777	0.724634	0.832177	0.927182	0.966195	0.864116	0.732936	0.599325	0.550549	0.517112	0.519766	0.52507	0.559626	0.537186	0.519553	0.54189	0.597099	0.660719	0.794461	0.92743	0.977196	0.968348	0.820451	0.739469	0.706823	0.700996	0.7608	0.858636	0.946451	1.014202	1.011222	1.006116
1.050397	1.012876	1.010192	1.052679	1.025336	1.005443	0.900369	0.77622	0.719863	0.719192	0.731502	0.799365	0.882685	0.908966	0.924699	0.913502	0.804084	0.774005	0.722551	0.692432	0.667154	0.647741	0.747027	0.735475	0.72084	0.843914	0.999879	1.036435	1.024017	0.99998	0.857482	0.739496	0.660129	0.686518	0.764492	0.898894	0.913867	1.017916	1.001867	0.988921	0.986223	1.048141	1.017514	0.921882	0.835193	0.729015	0.711913	0.714458	0.808528	0.893467	0.914526	0.933448	0.851897	0.794673	0.726395	0.6664	0.644696	0.6202	0.571685	0.626473	0.670649	0.708723	0.745908	0.872355	0.924422	0.968338	0.988497	0.908266	0.775202	0.659127	0.69083	0.756365	0.825547	0.872226	0.968572	1.018796	1.014429	0.969748
1.001167	0.923067	0.963228	0.961406	1.065363	0.991642	0.976546	0.854156	0.736875	0.718655	0.709927	0.807112	0.906064	0.947773	0.919205	1.001223	0.922632	0.887523	0.908626	0.856979	0.803777	0.811274	0.910128	0.932601	0.923514	1.008025	1.037654	1.019087	0.991611	0.941858	0.783521	0.702508	0.705284	0.743998	0.852331	0.952952	0.975219	0.986944	0.964101	0.993717	1.005063	0.996608	1.01893	0.95449	0.852495	0.725728	0.69595	0.685652	0.743838	0.826323	0.921908	0.952174	0.966218	0.947727	0.869294	0.817102	0.850619	0.790465	0.730662	0.813409	0.88361	0.907872	0.934308	1.010358	1.044506	0.9782	0.933242	0.855216	0.745031	0.685301	0.726722	0.787707	0.860887	0.975177	0.997508	0.987449	0.933379	0.973967
0.912873	0.88041	0.882692	0.90343	1.016087	1.072037	1.032216	0.924432	0.851592	0.776074	0.742573	0.767263	0.776084	0.848417	0.871691	0.924044	1.012511	1.006299	0.94623	0.958304	0.983843	0.956495	1.004625	1.053673	1.114205	1.071947	1.0645	0.980995	0.953431	0.856627	0.7915	0.735209	0.742149	0.833748	0.980897	1.060797	1.081648	1.004739	0.957859	0.940554	0.949402	0.985055	1.090885	1.049429	0.966094	0.826623	0.758594	0.719369	0.705858	0.799571	0.859034	0.912715	0.969021	1.043176	0.98957	0.986033	0.986732	0.976077	0.948278	0.978668	1.026877	1.049992	1.084084	1.063207	1.015021	0.968558	0.885831	0.820148	0.751709	0.74213	0.770431	0.878201	0.941596	0.956967	1.006734	0.939326	0.919636	0.929196
